,titles,authors,stars,reviews,cover,prices,publishers,genres,year
29,Code Complete (Microsoft Programming),Steve McConnell,4.2,113.0,Paperback,19.98,"Dutton Adult (January 1, 1997)", Business & Money ,1997
30,Only the Paranoid Survive,Andrew S. Grove,4.3,150.0,Hardcover,19.08,"Microsoft Press; 1 edition (January 1, 1993)", Computers & Technology ,1997
31,The Bible Code,Michael Drosnin,3.6,290.0,Hardcover,9.89,"Doubleday Business; 1 edition (September 1, 1996)", Computers & Technology ,1997
32,About Face: The Essentials of User Interface Design,Alan Cooper,3.1,47.0,Paperback,12.41,"Simon & Schuster (May 29, 1997)", Religion & Spirituality ,1997
33,Designing Web Graphics 2,Lynda Weinman,3.2,21.0,Paperback,1.68,"Wiley; 1 edition (August 25, 1995)", Computers & Technology ,1997
34,Into the Wild,Jon Krakauer,4.3,2806.0,Paperback,11.3,"New Riders Pub; 2 edition (February 1, 1997)", Textbooks ,1997
35,A Certain Justice (Adam Dalgliesh Mystery Series #10),P. D. James,4.5,282.0,Hardcover,5.84,"Anchor Books; 1 edition (February 1, 1997)", History ,1997
36,Being Digital,Nicholas Negroponte,4.1,79.0,Paperback,12.43,"Alfred A. Knopf; 1st American trade ed edition (November 25, 1997)"," Mystery, Thriller & Suspense ",1997
37,American Sphinx: The Character of Thomas Jefferson,Joseph J. Ellis,4.1,249.0,Hardcover,20.31,"Vintage; 1 edition (January 3, 1996)", Computers & Technology ,1997
38,Computer Networks,Andrew S. Tanenbaum,3.9,169.0,Hardcover,24.86,"Alfred A. Knopf; 1st edition (February 4, 1997)", Biographies & Memoirs ,1997
39,UML DISTILLED: APPLYING THE STANDARD OBJECT MODELLING LANGUAGE (OBJECT TECHNOLOGY SERIES),KENDALL SCOTT' 'MARTIN…,3.9,20.0,Paperback,11.0,Prentice Hall; 3rd edition (March 1996), Computers & Technology ,1997
40,Microsoft NT Server Resource Kit (Microsoft Professional Editions),Microsoft Press,3.6,4.0,Paperback,17.49,ADDISON WESLEY (1997), Computers & Technology ,1997
41,"The Mythical Man-Month: Essays on Software Engineering, Anniversary Edition (2nd Edition)",Frederick P. Brooks Jr.,4.5,303.0,Paperback,31.27,"Microsoft Press (January 1, 1996)", Computers & Technology ,1997
42,Mastering the Zone: The Next Step in Achieving SuperHealth and Permanent Fat Loss,Barry Sears,4.0,91.0,Hardcover,5.98,"Addison-Wesley Professional; Anniversary edition (August 12, 1995)", Computers & Technology ,1997
43,The Gift of Fear : Survival Signals That Protect Us from Violence,Gavin De Becker,4.7,2215.0,Hardcover,17.66,Regan Books; 1st edition (1997)," Health, Fitness & Dieting ",1997
44,Competing for the Future,Gary Hamel,4.3,51.0,Paperback,9.75,"Harvard Business Review Press; Reprint edition (April 1, 1996)", Business & Money ,1997
45,"The Chicago Manual of Style: The Essential Guide for Writers, Editors, and Publishers (14th Edition)",Chicago Editorial Staff,4.7,556.0,Hardcover,24.95,"University Of Chicago Press; Fourteenth edition (September 1, 1993)", Reference ,1997
46,Everest : Mountain Without Mercy,Broughton Coburn,4.7,68.0,Hardcover,17.92,"National Geographic; Reissue edition (October 1, 1997)", Travel ,1997
47,Spontaneous Healing: How to Discover and Enhance Your Body's Natural Ability to Maintain and Heal  Itself,Andrew Weil,4.4,154.0,Paperback,3.99,"Ballantine Books (April 23, 1996)"," Health, Fitness & Dieting ",1997
48,Contact,Carl Sagan,4.3,454.0,Mass Market Paperback,7.19,"Pocket Books; 10th ptg. edition (July 1, 1997)", Literature & Fiction ,1997
0,A Man in Full: A Novel,Tom Wolfe,3.9,718.0,Hardcover,16.66,"Farrar, Straus and Giroux; 1st edition (November 12, 1998)"," Mystery, Thriller & Suspense ",1998
1,Rainbow Six,Tom Clancy,4.4,1525.0,Hardcover,19.88,"G.P. Putnam's Sons (August 3, 1998)"," Mystery, Thriller & Suspense ",1998
2,"Tuesdays with Morrie: An Old Man, A Young Man and Life's Greatest Lesson",Mitch Albom,4.8,3944.0,Hardcover,11.2,"Doubleday; 1st edition (August 18, 1997)", Biographies & Memoirs ,1998
3,I Know This Much Is True,Wally Lamb,4.5,2371.0,Hardcover,11.9,"Regan Books; 1st edition (June 14, 1998)"," Mystery, Thriller & Suspense ",1998
4,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,4.5,1362.0,Paperback,1.99,"Perennial (May 7, 1997)", Literature & Fiction ,1998
5,The Greatest Generation,Tom Brokaw,4.5,879.0,Hardcover,9.0,"Random House; 1 edition (November 30, 1998)", History ,1998
6,The 9 Steps to Financial Freedom,Suze Orman,4.3,278.0,Hardcover,6.63,"Crown Publishers, Inc.; 1st edition (March 25, 1997)", Business & Money ,1998
7,The Century,Peter Jennings,4.3,78.0,Hardcover,17.35,"Doubleday; 1st edition (November 10, 1998)", Textbooks ,1998
8,Don't Sweat the Small Stuff and It's All Small Stuff: Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,4.7,1006.0,Paperback,6.76,"Hachette Books; 1 edition (January 16, 1997)", Self-Help ,1998
9,Midwives (Oprah's Book Club),Chris Bohjalian,4.2,687.0,Paperback,11.66,"Vintage; 1st Vintage Contemporaries Ed edition (November 8, 1998)", Literature & Fiction ,1998
10,Bag of Bones,Stephen King,4.3,1220.0,Hardcover,13.62,"Scribner; 1st edition (September 22, 1998)", Literature & Fiction ,1998
11,Blind Man's Bluff: The Untold Story Of American Submarine Espionage,Sherry Sontag,4.7,766.0,Hardcover,14.49,"PublicAffairs (October 19, 1998)", History ,1998
12,The 7 Habits of Highly Effective People,Stephen R. Covey,4.5,5178.0,Paperback,11.95,"Free Press; 1st edition (September 15, 1990)", Business & Money ,1998
13,The Electronic Day Trader: Successful Strategies for On-line Trading,Marc Friedfertig,3.3,72.0,Hardcover,0.1,"McGraw-Hill; 1st edition (May 31, 1998)", Business & Money ,1998
14,Sugar Busters!  Cut Sugar to Trim Fat,H. Leighton Steward,4.3,170.0,Hardcover,10.0,"McGraw-Hill; 1st edition (May 31, 1998)", Business & Money ,1998
15,The Street Lawyer: A Novel,John Grisham,4.4,1218.0,Hardcover,12.43,Ballantine Books; 2 edition (May 1998)," Health, Fitness & Dieting ",1998
16,The Motley Fool Investment Guide: How the Fools Beat Wall Street's Wise Men and How You Can Too,Tom Gardner,3.9,101.0,Paperback,7.5,"Doubleday; 1st edition (February 16, 1998)"," Mystery, Thriller & Suspense ",1998
17,"Protein Power: The High-Protein/Low Carbohydrate Way to Lose Weight, Feel Fit, and Boost Your Health-in Just Weeks!",Michael R. Eades,4.4,520.0,Mass Market Paperback,8.22,"Fireside; Reprint edition (June 2, 1997)", Business & Money ,1998
18,"The Path of Daggers (The Wheel of Time, Book 8)",Robert Jordan,4.3,2199.0,Hardcover,19.49,"Bantam Books; 1st edition (December 1, 1996)"," Cookbooks, Food & Wine ",1998
19,Dr. Atkins' New Diet Revolution,Robert C. Atkins,4.3,1299.0,Mass Market Paperback,12.12,"Tor Books; 1st edition (October 20, 1998)", Science Fiction & Fantasy ,1998
20,The Roaring 2000s: Building the Wealth and Life Style You Desire in the Greatest Boom in History,Harry S. Dent,3.0,66.0,Hardcover,2.94,"Avon (January 25, 1997)"," Health, Fitness & Dieting ",1998
21,Paradise,Toni Morrison,4.2,1227.0,Hardcover,11.8,"Simon & Schuster (April 14, 1998)", Business & Money ,1998
22,Built to Last: Successful Habits of Visionary Companies,James C. Collins,4.5,369.0,Paperback,2.99,"Knopf; 1st edition (December 24, 1997)", Literature & Fiction ,1998
23,Memoirs of a Geisha,Arthur Golden,4.6,2796.0,Hardcover,9.8,"Harperbusiness; 1st edition (January 15, 1997)", Business & Money ,1998
24,Black and Blue: A Novel,Anna Quindlen,4.1,723.0,Hardcover,11.76,"Knopf; 1st edition (September 23, 1997)", Literature & Fiction ,1998
25,"Eat Right 4 Your Type: The Individualized Diet Solution to Staying Healthy, Living Longer & Achieving Your Ideal Weight",Peter J. D'Adamo,4.4,2484.0,Hardcover,6.99,"Random House; First Edition edition (January 24, 1998)", Literature & Fiction ,1998
26,The Seat of the Soul,Gary Zukav,4.5,1097.0,Paperback,20.98,"Berkley; 1st edition (January 1, 1996)"," Health, Fitness & Dieting ",1998
27,Selling the Invisible: A Field Guide to Modern Marketing,Harry Beckwith,4.4,229.0,Hardcover,15.25,"Fireside / Simon & Schuster (January 15, 1990)", Religion & Spirituality ,1998
28,Point of Origin (Kay Scarpetta) (A Scarpetta Novel),Patricia Cornwell,4.3,412.0,Hardcover,8.99,"Business Plus (March 1, 1997)", Business & Money ,1998
29,Where the Heart Is,Billie Letts,4.5,1092.0,Paperback,8.6,"G. P. Putnam's Sons; First edition (July 6, 1998)"," Mystery, Thriller & Suspense ",1998
30,Death of Outrage: Bill Clinton and the Assault on American Ideals,William J. Bennett,3.4,89.0,Hardcover,2.7,"Warner Books; 1st edition (June 30, 1998)", Literature & Fiction ,1998
31,Endurance : Shackleton's Incredible Voyage,Alfred. Lansing,4.8,2306.0,Paperback,7.67,"Free Press; Touchstone ed. edition (September 14, 1998)", Politics & Social Sciences ,1998
32,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,4.6,2646.0,Mass Market Paperback,0.03,Carroll & Graf Publishers; 1st edition (1986), History ,1998
33,Bridget Jones's Diary,Helen Fielding,4.0,953.0,Hardcover,14.95,"Anchor; 1st Anchor Books ed edition (April 6, 1998)", Travel ,1998
34,"The Vampire Armand : The Vampire Chronicles (Rice, Anne, Vampire Chronicles)",Anne Rice,4.0,428.0,Hardcover,3.87,"Viking Adult (July 1, 1998)", Literature & Fiction ,1998
35,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,4.4,2638.0,Hardcover,5.89,"Alfred A. Knopf (October 10, 1998)", Literature & Fiction ,1998
36,"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,4.6,531.0,Hardcover,4.0,"Random House; 1st edition (May 5, 1998)", Biographies & Memoirs ,1998
37,A Widow for One Year: A Novel,John Irving,3.8,521.0,Hardcover,2.98,"Random House; 1st trade ed edition (May 5, 1998)"," Mystery, Thriller & Suspense ",1998
38,The Emperor's New Clothes : An All-Star Retelling of the Classic Fairy Tale (with Audio CD),Starbright Foundation,4.0,20.0,Hardcover,1.05,"Houghton Mifflin Harcourt; Har/Com edition (October 22, 1998)", Children's Books ,1998
39,The Poisonwood Bible,Barbara Kingsolver,4.5,2632.0,Hardcover,15.84,"Harper; 1st edition (October 7, 1998)", Literature & Fiction ,1998
40,Here on Earth (Oprah's Book Club),Alice Hoffman,3.4,415.0,Paperback,10.23,"Berkley (March 1, 1998)", Literature & Fiction ,1998
41,Cold Mountain,Charles Frazier,4.2,1350.0,Hardcover,9.48,"Atlantic Monthly Press; 1st edition (May 16, 1997)", Science Fiction & Fantasy ,1998
42,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,4.3,802.0,Mass Market Paperback,3.5,"HarperTorch (June 1, 2000)", Science & Math ,1998
43,Time Bomb 2000!: What the Year 2000 Computer Crisis Means to You!,Edward Yourdon,3.3,46.0,Paperback,4.99,"Prentice Hall Ptr; 1 edition (December 24, 1997)", Computers & Technology ,1998
44,Charming Billy,Alice McDermott,3.6,275.0,Hardcover,12.67,"Farrar, Straus and Giroux; 1st edition (December 31, 1997)", Literature & Fiction ,1998
45,Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,Geoffrey A. Moore,4.2,95.0,Paperback,3.49,"Harperbusiness; First Edition edition (October 1, 1995)", Engineering & Transportation ,1998
46,Unleashing the Killer App: Digital Strategies for Market Dominance,Larry Downes,3.7,110.0,Hardcover,2.99,"Harvard Business Review Press (April 22, 1998)", Computers & Technology ,1998
47,Enter The Zone: A Dietary Road map,Barry Sears,4.2,291.0,Hardcover,16.84,"Regan Book; 1st edition (May 12, 1995)"," Health, Fitness & Dieting ",1998
48,Gung Ho! Turn On the People in Any Organization,Ken Blanchard,4.3,220.0,Hardcover,7.99,"William Morrow; 1 edition (October 8, 1997)", Business & Money ,1998
49,The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,4.6,1418.0,Paperback,19.89,"North River Pr; Revised edition (May 1, 1992)", Business & Money ,1998
0,Raving Fans: A Revolutionary Approach To Customer Service,Ken Blanchard,4.4,371.0,Hardcover,12.38,"William Morrow; 1 edition (May 19, 1993)", Business & Money ,1998
1,The Endurance: Shackleton's Legendary Antarctic Expedition,Caroline Alexander,4.8,239.0,Hardcover,20.24,"Knopf; 1 edition (November 3, 1998)", Travel ,1998
2,In the Meantime: Finding Yourself and the Love You Want,Iyanla Vanzant,4.6,427.0,Hardcover,13.95,"Simon & Schuster; First Printing edition (January 20, 1998)", Parenting & Relationships ,1998
3,The 20th-Century Children's Book Treasury: Picture Books and Stories to Read Aloud,Janet Schulman,4.7,279.0,Hardcover,29.75,"Knopf Books for Young Readers; Later prt. edition (September 14, 1998)", Children's Books ,1998
4,"The Elements of Style, Third Edition",William Strunk Jr.,4.5,2951.0,Paperback,0.1,"Allyn & Bacon; 3rd edition (June 21, 1995)", Medical Books ,1998
5,The American Century,Harold Evans,4.2,21.0,Hardcover,29.75,"Allyn & Bacon; 3rd edition (June 21, 1995)", Medical Books ,1998
6,A Pirate Looks at Fifty,Jimmy Buffett,4.2,216.0,Hardcover,6.38,"Knopf; 1 edition (September 22, 1998)", History ,1998
7,The Fallen Man,Tony Hillerman,4.7,153.0,Hardcover,110.58,Random House; 1st edition (June 1998), Arts & Photography ,1998
8,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.4,7033.0,Hardcover,16.96,HarperCollins; First Paperback Edition edition (December 1996)," Mystery, Thriller & Suspense ",1998
9,The Profit Zone: How Strategic Business Design Will Lead You to Tomorrow's Profits,Adrian J. Slywotzky,4.0,35.0,Hardcover,5.95,"Broadway; 1st edition (May 4, 1998)", Travel ,1998
10,Intensity,Dean R. Koontz,4.2,1011.0,Hardcover,4.95,"Crown Business; 1 edition (December 29, 1997)", Business & Money ,1998
11,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,4.4,1037.0,Paperback,0.25,Random House; First edition (1996)," Mystery, Thriller & Suspense ",1998
12,Leading Change,John P. Kotter,4.5,441.0,Hardcover,7.99,"Penguin Books; Revised edition (December 1, 1991)", Business & Money ,1998
13,Harry Potter And The Sorcerer's Stone,J.K. Rowling,4.3,34067.0,Hardcover,14.52,"Harvard Business School Press; 1st edition (January 15, 1996)", Business & Money ,1998
14,Little Altars Everywhere,Rebecca Wells,3.9,220.0,Paperback,4.99,"Harper Paperbacks; Reprint edition (May 22, 1996)", Literature & Fiction ,1998
15,101 Nights of Grrreat Sex: Secret Sealed Seductions for Fun-Loving Couples,Laura Corn,4.0,97.0,Paperback,1.13,Park Avenue Publishers; 1st edition (September 2000), Politics & Social Sciences ,1998
16,You Have More Than You Think: The Motley Fool Guide To Investing What You Have,David Gardner,4.2,57.0,Hardcover,12.75,"Simon & Schuster; First Edition edition (January 6, 1998)", Business & Money ,1998
17,Cold Mountain: A Novel,Charles Frazier,4.2,1350.0,Paperback,4.99,"Vintage; Reissue edition (August 12, 1998)", Literature & Fiction ,1998
18,The Unemotional Investor : Simple Systems for Beating the Market,Robert Sheard,3.4,34.0,Hardcover,4.44,"Simon & Schuster (May 12, 1998)", Christian Books & Bibles ,1998
19,"Women's Bodies, Women's Wisdom: Creating Physical and Emotional Health and Healing",Christiane Northrup M.D.,4.4,457.0,Paperback,17.95,"Bantam; 2nd Revised edition (March 2, 1998)"," Health, Fitness & Dieting ",1998
20,The Balanced Scorecard: Translating Strategy into Action,Robert S. Kaplan,4.4,85.0,Hardcover,21.5,"Harvard Business Review Press; 1 edition (September 1, 1996)", Business & Money ,1998
21,L is for Lawless,Sue Grafton,4.2,293.0,Hardcover,14.5,"Henry Holt & Company, Inc.; First Edition edition (1995)"," Mystery, Thriller & Suspense ",1998
22,Blur: The Speed of Change In the Connected Economy,Stan Davis,3.4,38.0,Hardcover,2.7,"Addison-Wesley; First Edition edition (March 25, 1998)", Engineering & Transportation ,1998
23,How to Be a Star at Work: 9 Breakthrough Strategies You Need to Succeed,Robert E. Kelley,4.1,49.0,Hardcover,0.25,"Crown Business; 1 edition (April 14, 1998)", Business & Money ,1998
24,Simple Abundance: A Daybook of Comfort of Joy,Sarah Ban Breathnach,4.7,683.0,Hardcover,3.48,"Warner Books; First Edition edition (November 15, 1995)", Christian Books & Bibles ,1998
25,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber,4.6,1783.0,Paperback,14.55,"HarperCollins; Updated, Subsequent edition (March 3, 1995)", Business & Money ,1998
26,"Breath, Eyes, Memory (Oprah's Book Club)",Edwidge Danticat,4.2,289.0,Paperback,18.67,"Vintage (May 31, 1998)", Travel ,1998
27,The Gorilla Game: An Investor's Guide to Picking Winners in High Technology,Geoffrey A. Moore,3.4,27.0,Hardcover,0.25,"HarperBusiness; 1 ed edition (March 11, 1998)", Business & Money ,1998
28,One Day My Soul Just Opened Up: 40 Days and 40 Nights Toward Spiritual Strength and Personal Growth,Iyanla Vanzant,4.6,252.0,Hardcover,10.47,"Touchstone; Later Printing edition (January 5, 1998)", Religion & Spirituality ,1998
29,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,4.5,466.0,Hardcover,55.97,"Addison-Wesley Professional; 1 edition (November 10, 1994)", Computers & Technology ,1998
30,Angela's Ashes (The Frank McCourt Memoirs),Frank McCourt,4.4,2357.0,Hardcover,15.23,"Scribner (September 5, 1996)", Biographies & Memoirs ,1998
31,N is for Noose,Sue Grafton,4.3,346.0,Hardcover,12.69,"Henry Holt; 1st edition (May 15, 1998)"," Mystery, Thriller & Suspense ",1998
32,If Only You Knew How Much I Smell You: True Portraits of Dogs,Valerie Shaff,4.6,72.0,Hardcover,12.26,"Bulfinch; Gift edition (May 15, 1998)", Arts & Photography ,1998
33,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,4.3,802.0,Hardcover,13.5,"W.W. Norton; 1st edition (May 17, 1997)", Science & Math ,1998
34,Consilience: The Unity of Knowledge,Edward O. Wilson,4.2,167.0,Hardcover,15.77,"Alfred A. Knopf; 1st edition (March 17, 1998)", Textbooks ,1998
35,The New Way Things Work,David Macaulay,4.6,246.0,Hardcover,14.96,"HMH Books for Young Readers; Revised, Subsequent edition (October 26, 1998)", Teens ,1998
36,How To Cook Everything: Simple Recipes for Great Food,Mark Bittman,4.5,1652.0,Hardcover,27.16,"Wiley; 1 edition (August 14, 1998)", Reference ,1998
37,"If Life Is a Game, These Are the Rules: Ten Rules for Being Human as Introduced in Chicken Soup for the Soul",Cherie Carter-Scott,4.7,116.0,Hardcover,8.22,"Harmony; 1st edition (December 30, 1998)", Business & Money ,1998
38,The Professor and the Madman,Simon Winchester,4.3,862.0,Hardcover,8.49,Harper; 1ST edition (1998), Biographies & Memoirs ,1998
39,"Conversations with God: An Uncommon Dialogue, Book 1",Neale Donald Walsch,4.5,2401.0,Hardcover,10.99,"G. P. Putnam's Sons; 1st edition (October 29, 1996)", Religion & Spirituality ,1998
40,Core Java 1.1 Volume 1: Fundamentals,Cay S. Horstmann,3.8,31.0,Paperback,48.48,"Pearson P T R (August 1, 1997)", Computers & Technology ,1998
41,The Gifts of the Jews (Hinges of History),Thomas Cahill,4.0,242.0,Hardcover,13.95,"Nan A. Talese; 1 edition (March 16, 1998)", Textbooks ,1998
42,Programming Perl,Tom Christiansen,3.8,42.0,Paperback,9.95,"O'Reilly Media; Second edition (October 11, 1996)", Computers & Technology ,1998
43,Ship of Gold in the Deep Blue Sea,Gary Kinder,4.6,404.0,Hardcover,19.35,"Atlantic Monthly Pr; 1st edition (June 1, 1998)", Engineering & Transportation ,1998
44,The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,4.3,560.0,Hardcover,13.78,"Harvard Business Review Press; 1st edition (May 1, 1997)", Business & Money ,1998
45,"The New Strategic Selling: The Unique Sales System Proven Successful by the World's Best Companies, Revised and Updated for the 21st Century",Stephen E. Heiman,4.2,126.0,Paperback,8.49,"Business Plus; Revised, Updated, Subsequent edition (January 1, 1998)", Business & Money ,1998
46,1001 Ways to Reward Employees,Bob Nelson,4.0,52.0,Paperback,11.9,"Workman Publishing Company (January 1, 1994)", Business & Money ,1998
0,Harry Potter And The Prisoner Of Azkaban,J.K. Rowling,4.3,34066.0,Hardcover,12.77,"Plume (January 1, 1998)"," Health, Fitness & Dieting ",1999
1,Harry Potter and the Chamber of Secrets,J.K. Rowling,4.7,21588.0,Hardcover,14.69,"Doubleday; 1st edition (August 18, 1997)", Biographies & Memoirs ,1999
2,Harry Potter And The Sorcerer's Stone,J.K. Rowling,4.3,34066.0,Hardcover,14.52,"G. P. Putnam's Sons; 1 edition (September 8, 1998)", Self-Help ,1999
3,The Carbohydrate Addict's Lifespan Program: Personalized Plan for bcmg Slim Fit Healthy your 40s 50s 60s Beyond,Dr. Rachael F. Heller,4.1,252.0,Paperback,3.48,"Random House; 1 edition (November 30, 1998)", History ,1999
4,"Tuesdays with Morrie: An Old Man, A Young Man and Life's Greatest Lesson",Mitch Albom,4.8,3944.0,Hardcover,11.2,Berkley; 1st Signet Printing edition (March 1993)," Health, Fitness & Dieting ",1999
5,Who Moved My Cheese?: An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,4.6,3517.0,Hardcover,8.7,"Delacorte Press; 1st edition (June 8, 1999)"," Mystery, Thriller & Suspense ",1999
6,The Greatest Generation,Tom Brokaw,4.5,879.0,Hardcover,9.0,"William Morrow; 1st edition (June 10, 1999)"," Health, Fitness & Dieting ",1999
7,The Carbohydrate Addict's Diet: The Lifelong Solution to Yo-Yo Dieting (Signet),Dr. Rachael F. Heller,4.2,318.0,Mass Market Paperback,7.19,"Avon (January 25, 1997)"," Health, Fitness & Dieting ",1999
8,Hannibal: A Novel,Thomas Harris,3.8,2627.0,Hardcover,2.99,"Doubleday; 1st edition (February 2, 1999)"," Mystery, Thriller & Suspense ",1999
9,Body for Life: 12 Weeks to Mental and Physical Strength,Bill Phillips,4.4,1054.0,Hardcover,25.49,"Vintage; Vintage contemporaries ed edition (January 10, 1999)", Literature & Fiction ,1999
10,Dr. Atkins' New Diet Revolution,Robert C. Atkins,4.3,1299.0,Mass Market Paperback,12.12,"Scribner; Scribner 1999 edition (September 21, 1999)", Biographies & Memoirs ,1999
11,The Testament: A Novel,John Grisham,4.5,2048.0,Hardcover,19.86,"Little, Brown and Company; First Edition edition (May 1, 1999)", Literature & Fiction ,1999
12,Memoirs of a Geisha: A Novel,Arthur Golden,4.6,2796.0,Paperback,10.16,"Back Bay Books; 1st Back Bay Pbk. Ed edition (March 30, 1999)", Literature & Fiction ,1999
13,'Tis: A Memoir,Frank McCourt,4.3,769.0,Hardcover,9.5,"Bantam Books; 1st edition (December 1, 1996)"," Cookbooks, Food & Wine ",1999
14,Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.3,34066.0,Paperback,8.87,"Bulfinch (October 7, 1999)", Arts & Photography ,1999
15,White Oleander,Janet Fitch,4.4,1114.0,Hardcover,13.45,Vintage Books (1997), Literature & Fiction ,1999
16,The Pilot's Wife (Oprah's Book Club),Anita Shreve,4.0,898.0,Paperback,2.7,"G. P. Putnam & Sons; 1st edition (August 2, 1999)"," Mystery, Thriller & Suspense ",1999
17,"Protein Power: The High-Protein/Low Carbohydrate Way to Lose Weight, Feel Fit, and Boost Your Health-in Just Weeks!",Michael R. Eades,4.4,520.0,Mass Market Paperback,8.22,"Doubleday; 1st edition (November 10, 1998)", Textbooks ,1999
18,Life: Our Century In Pictures,Richard B. Stolley,4.7,44.0,Hardcover,31.97,"Fireside / Simon & Schuster (January 15, 1990)", Religion & Spirituality ,1999
19,The Reader,Bernhard Schlink,4.1,988.0,Paperback,8.35,"Gallup Press; 1 edition (May 5, 1999)", Business & Money ,1999
20,Black Notice (A Scarpetta Novel),Patricia Cornwell,4.1,577.0,Hardcover,8.82,"Crown Business; 1 edition (November 15, 1998)", Business & Money ,1999
21,The Century,Peter Jennings,4.3,78.0,Hardcover,17.35,"Harvard Business Review Press; 1st edition (May 1, 1997)", Business & Money ,1999
22,The Seat of the Soul,Gary Zukav,4.5,1097.0,Paperback,20.98,"Delacorte Press; First Edition edition (September 1, 1999)", Literature & Fiction ,1999
23,"First, Break All the Rules: What the World's Greatest Managers Do Differently",Marcus Buckingham,4.5,587.0,Hardcover,17.92,"Free Press; 1st edition (September 15, 1990)", Business & Money ,1999
24,Customers.com: How to Create a Profitable Business Strategy for the Internet and Beyond,Patricia B. Seybold,3.6,83.0,Hardcover,1.65,"HarperCollins; 1st edition (October 20, 1999)", Biographies & Memoirs ,1999
25,The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,4.3,560.0,Hardcover,13.78,"Knopf; Abridged edition edition (November 16, 1999)"," Mystery, Thriller & Suspense ",1999
26,Tara Road: Oprah Selection #26,Maeve Binchy,4.3,670.0,Hardcover,11.75,"Three Rivers Press; 1 edition (March 23, 1999)", Humor & Entertainment ,1999
27,The 7 Habits of Highly Effective People,Stephen R. Covey,4.5,5178.0,Paperback,11.95,Ballantine Books; 2 edition (May 1998)," Health, Fitness & Dieting ",1999
28,Mankind: Have a Nice Day - A Tale of Blood and Sweatsocks,Mick Foley,4.6,650.0,Hardcover,14.79,"Little, Brown and Company; 1st edition (April 19, 1999)", Biographies & Memoirs ,1999
29,Timeline,Michael Crichton,4.2,2002.0,Hardcover,11.93,"Hachette Books; 1st edition (January 7, 1999)", Business & Money ,1999
30,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,4.5,210.0,Paperback,11.34,"Grand Central Publishing (March 1, 1999)", Computers & Technology ,1999
31,Sugar Busters!  Cut Sugar to Trim Fat,H. Leighton Steward,4.3,170.0,Hardcover,10.0,"Tyndale House Publishers, Inc.; 1 edition (August 1, 1999)", Literature & Fiction ,1999
32,All Too Human: A Political Education,George Stephanopoulos,4.2,255.0,Hardcover,4.0,"Berkley; Reprint edition (June 1, 1993)"," Health, Fitness & Dieting ",1999
33,"Life Strategies: Doing What Works, Doing What Matters",Phillip C. McGraw,4.3,353.0,Hardcover,8.22,"Scribner; 1st Touchstone Edition 1999 edition (May 25, 1999)", Biographies & Memoirs ,1999
34,Business @ the Speed of Thought: Succeeding in the Digital Economy,Bill Gates,3.9,136.0,Hardcover,18.65,"Gallery Books (October 1, 1998)", Business & Money ,1999
35,"Assassins (Left Behind, Book 6)",Jerry B. Jenkins,4.6,493.0,Hardcover,7.47,"Farrar, Straus and Giroux (BYR); 1st edition (August 20, 1998)", Children's Books ,1999
36,The Carbohydrate Addict's Gram Counter: Essential Food Facts at a Glance (Signet),Dr. Rachael F. Heller,3.7,30.0,Mass Market Paperback,5.39,"Farrar, Straus and Giroux (BYR); 1st edition (August 20, 1998)", Children's Books ,1999
37,Angela's Ashes: A Memoir,Frank McCourt,4.4,2357.0,Paperback,10.09,"Crown Publishers; 1st edition (April 20, 1999)"," Health, Fitness & Dieting ",1999
38,The Millionaire Next Door,Thomas J. Stanley,4.4,2638.0,Paperback,15.95,"Farrar, Straus and Giroux; 1st edition (April 21, 1999)", Business & Money ,1999
39,Holes (Newberry Medal Book),Louis Sachar,4.7,2378.0,Hardcover,1.24,"Warner Books; 1st edition (June 30, 1998)", Literature & Fiction ,1999
40,Suzanne Somers' Get Skinny on Fabulous Food,Suzanne Somers,4.2,234.0,Hardcover,10.2,"Scribner; 1st edition (September 14, 1999)", Literature & Fiction ,1999
41,The Lexus and the Olive Tree,Thomas L. Friedman,3.9,389.0,Hardcover,9.8,"Sourcebooks MediaFusion (December 15, 2000)", Sports & Outdoors ,1999
